"Country","HaveWorkedLanguage","Frequency"
"Iraq","C",1
"Iraq","Haskell",1
"Iraq","Objective-C",1
"Iraq","Ruby",1
"Iraq","Swift",1
"Iraq","VB.NET",1
"Iraq","VisualBasic6",1
"Bangladesh","R",1
"Costa Rica","Go",1
"Guatemala","Go",1
"Guatemala","Scala",1
"Guatemala","Matlab",1
"Virgin Islands (USA)","C#",1
"Virgin Islands (USA)","CoffeeScript",2
"Virgin Islands (USA)","Go",1
"Virgin Islands (USA)","JavaScript",3
"Virgin Islands (USA)","Python",2
"Virgin Islands (USA)","TypeScript",1
"Belarus","Elixir",1
"Georgia","Groovy",1
"South Africa","Haskell",1
"Greece","Clojure",1
"Panama","C",2
"Panama","Swift",1
"Tunisia","CoffeeScript",1
"Tunisia","Clojure",1
"Azerbaidjan","Clojure",1
"Nigeria","Smalltalk",1
"Suriname","C#",1
"Suriname","Java",1
"Suriname","JavaScript",1
"Suriname","Objective-C",1
"Suriname","Swift",1
"Suriname","VB.NET",1
"Cayman Islands","C#",1
"Cayman Islands","Objective-C",1
"Cayman Islands","Swift",1
"Bangladesh","Groovy",2
"Ethiopia","VBA",1
"Latvia","VB.NET",2
"Antarctica","Python",4
"Zambia","C++",1
"Zambia","C#",1
"Burundi","Assembly",1
"Burundi","C",1
"Burundi","C++",1
"Burundi","C#",1
"Burundi","CoffeeScript",1
"Burundi","CommonLisp",1
"Burundi","Clojure",1
"Burundi","Dart",1
"Burundi","Elixir",1
"Burundi","Erlang",1
"Burundi","F#",1
"Burundi","Go",1
"Burundi","Groovy",1
"Burundi","Hack",1
"Burundi","Haskell",1
"Burundi","Java",1
"Burundi","JavaScript",1
"Burundi","Julia",1
"Burundi","Lua",1
"Burundi","Matlab",1
"Burundi","Objective-C",1
"Burundi","Perl",1
"Burundi","PHP",1
"Burundi","Python",1
"Burundi","R",1
"Burundi","Ruby",1
"Burundi","Rust",1
"Burundi","Scala",1
"Burundi","Smalltalk",1
"Burundi","SQL",1
"Burundi","Swift",1
"Burundi","TypeScript",1
"Burundi","VB.NET",1
"Burundi","VBA",1
"Burundi","VisualBasic6",1
"Latvia","Elixir",1
"Ethiopia","Julia",1
"Ethiopia","Lua",1
"Ethiopia","R",1
"Tanzania","Assembly",1
"Tanzania","Perl",3
"Belize","Python",1
"Belize","R",1
"Belize","SQL",2
"Ghana","F#",1
"Ghana","VB.NET",3
"Ghana","VisualBasic6",1
"Iceland","R",1
"Nigeria","CommonLisp",1
"Nigeria","Clojure",1
"Nigeria","Dart",1
"Nigeria","Erlang",1
"Nigeria","Groovy",1
"Nigeria","Hack",1
"Nigeria","Julia",1
"Nigeria","Rust",1
"Botswana","C#",1
"Botswana","Matlab",1
"Botswana","Python",1
"Botswana","SQL",1
"Botswana","TypeScript",1
"Falkland Islands","C#",1
"Falkland Islands","SQL",1
"Afghanistan","VB.NET",3
"Macedonia","CoffeeScript",1
"Macedonia","F#",1
"Zimbabwe","C",1
"Greece","Rust",2
"Denmark","CommonLisp",1
"Croatia","Dart",1
"Iceland","CoffeeScript",2
"Chile","Dart",1
"Virgin Islands (USA)","Ruby",1
"Serbia","Julia",1
"Serbia","R",1
"Portugal","F#",1
"Dominican Republic","Lua",1
"Dominican Republic","Perl",1
"Mexico","Erlang",1
"Taiwan","Assembly",1
"Ethiopia","Swift",1
"Israel","Dart",2
"Israel","Hack",2
"Jordan","Assembly",1
"Cameroon","TypeScript",2
"Panama","R",1
"Saint Lucia","Assembly",1
"Saint Lucia","C",1
"Saint Lucia","C++",1
"Saint Lucia","CoffeeScript",1
"Saint Lucia","CommonLisp",1
"Saint Lucia","Clojure",1
"Saint Lucia","Dart",1
"Saint Lucia","Elixir",1
"Saint Lucia","Erlang",1
"Saint Lucia","F#",1
"Saint Lucia","Go",1
"Saint Lucia","Groovy",1
"Saint Lucia","Hack",1
"Saint Lucia","Haskell",1
"Saint Lucia","Java",1
"Saint Lucia","JavaScript",1
"Saint Lucia","Julia",1
"Saint Lucia","Lua",1
"Saint Lucia","Matlab",1
"Saint Lucia","Objective-C",1
"Saint Lucia","Perl",1
"Saint Lucia","PHP",1
"Saint Lucia","Python",1
"Saint Lucia","R",1
"Saint Lucia","Ruby",1
"Saint Lucia","Rust",1
"Saint Lucia","Scala",1
"Saint Lucia","Smalltalk",1
"Saint Lucia","SQL",1
"Saint Lucia","Swift",1
"Saint Lucia","TypeScript",1
"Saint Lucia","VB.NET",1
"Saint Lucia","VBA",1
"Saint Lucia","VisualBasic6",1
"Yemen","VisualBasic6",1
"Montserrat","Java",1
"Montserrat","JavaScript",1
"Costa Rica","CoffeeScript",2
"Iceland","Go",1
"Afghanistan","CommonLisp",2
"Afghanistan","R",1
"Afghanistan","Rust",1
"Afghanistan","Smalltalk",1
"Algeria","Go",1
"Costa Rica","CommonLisp",1
"Costa Rica","Groovy",1
"Cameroon","Assembly",1
"Sri Lanka","Perl",1
"Ecuador","R",1
"Albania","Smalltalk",1
"Albania","VisualBasic6",1
"Venezuela","Smalltalk",1
"Guatemala","VBA",1
"Guatemala","VisualBasic6",1
"Kenya","Assembly",1
"Antigua and Barbuda","JavaScript",1
"Antigua and Barbuda","TypeScript",1
"Fiji","VBA",1
"Chile","CoffeeScript",3
"Taiwan","Dart",1
"Taiwan","TypeScript",2
"Uganda","Assembly",1
"Uganda","CoffeeScript",1
"Uganda","Erlang",1
"Uganda","Lua",1
"Cuba","Assembly",1
"Cuba","C",1
"Cuba","Matlab",1
"Puerto Rico","PHP",1
"Spain","CommonLisp",2
"Tanzania","C",2
"Tanzania","C++",2
"Tanzania","C#",1
"Tanzania","Go",1
"Tanzania","Julia",1
"Tanzania","Rust",1
"Tanzania","Swift",1
"Singapore","Rust",1
"Chile","Elixir",1
"Venezuela","Rust",1
"Zambia","Go",1
"Kenya","Perl",2
"Lithuania","VB.NET",1
"Cyprus","Swift",2
"Mexico","F#",1
"Egypt","Scala",1
"Uzbekistan","Groovy",1
"Uzbekistan","Scala",1
"U.S. Minor Outlying Islands","Go",1
"U.S. Minor Outlying Islands","JavaScript",1
"Saint Vincent & Grenadines","PHP",1
"Saint Vincent & Grenadines","SQL",1
"Albania","Elixir",1
"Nicaragua","C",1
"Tanzania","VisualBasic6",1
"Russian Federation","CommonLisp",1
"Uganda","VBA",1
"Turkey","Clojure",1
"Dominican Republic","Groovy",1
"Dominican Republic","VBA",1
"Uzbekistan","Objective-C",1
"Niger","C#",1
"Niger","Groovy",1
"Niger","Java",1
"Niger","Python",1
"Niger","SQL",1
"Egypt","Julia",1
"Madagascar","C#",2
"Jamaica","Lua",2
"Benin","C#",1
"Benin","Java",1
"Benin","Ruby",1
"Myanmar","Assembly",1
"Myanmar","VisualBasic6",2
"Taiwan","Perl",1
"Macedonia","VisualBasic6",1
"Cyprus","Lua",1
"Cyprus","VBA",1
"Serbia","Erlang",1
"Myanmar","C++",2
"Reunion (French)","C++",1
"Zimbabwe","Erlang",1
"Zimbabwe","VisualBasic6",1
"Eritrea","Java",1
"Eritrea","SQL",1
"Qatar","Assembly",1
"Qatar","C++",1
"Qatar","CoffeeScript",1
"Qatar","CommonLisp",1
"Qatar","Clojure",1
"Qatar","Dart",1
"Qatar","Elixir",1
"Qatar","Erlang",1
"Qatar","F#",1
"Qatar","Go",1
"Qatar","Groovy",1
"Qatar","Hack",1
"Qatar","Haskell",1
"Qatar","Julia",1
"Qatar","Lua",1
"Qatar","Matlab",1
"Qatar","Objective-C",1
"Qatar","Perl",1
"Qatar","R",1
"Qatar","Ruby",1
"Qatar","Rust",1
"Qatar","Scala",1
"Qatar","Swift",1
"Qatar","TypeScript",1
"Qatar","VB.NET",1
"Qatar","VBA",1
"Qatar","VisualBasic6",1
"Angola","Assembly",1
"Angola","C#",1
"Angola","CommonLisp",1
"Angola","Elixir",1
"Angola","F#",1
"Pakistan","Dart",1
"Yemen","C#",1
"Yemen","JavaScript",1
"Yemen","PHP",1
"Peru","Elixir",1
"Albania","Swift",1
"Czech Republic","CommonLisp",1
"Antarctica","PHP",1
"Madagascar","Haskell",1
"Madagascar","Ruby",1
"Lithuania","VisualBasic6",1
"Iceland","PHP",2
"Malta","Haskell",1
"Trinidad and Tobago","F#",1
"Guatemala","R",1
"Nicaragua","Java",1
"Ghana","Lua",1
"Thailand","Julia",1
"Estonia","CommonLisp",1
"Latvia","Dart",1
"Serbia","Rust",1
"Guatemala","Perl",1
"Ukraine","Dart",1
"Iceland","Hack",1
"Afghanistan","Haskell",1
"Armenia","Go",1
"Greece","Julia",1
"Vietnam","Elixir",1
"Vietnam","Erlang",1
"Vietnam","F#",1
"Vietnam","Groovy",1
"Vietnam","Hack",1
"Vietnam","Haskell",1
"Vietnam","Julia",1
"Venezuela","Matlab",2
"Indonesia","Julia",1
"Antigua and Barbuda","C++",1
"Ukraine","Hack",1
"Cambodia","TypeScript",1
"Bangladesh","Smalltalk",1
"Australia","Erlang",1
"Brunei Darussalam","Java",1
"Tadjikistan","TypeScript",1
"Trinidad and Tobago","C",1
"Trinidad and Tobago","Objective-C",1
"Liechtenstein","SQL",1
"Liechtenstein","Swift",1
"Uruguay","R",1
"Jamaica","Assembly",1
"Jamaica","Elixir",1
"Jamaica","Erlang",1
"Jamaica","Matlab",1
"Jamaica","Objective-C",1
"Jamaica","Perl",1
"Jamaica","R",1
"Jamaica","Scala",1
"Hungary","Rust",1
"Azerbaidjan","Lua",1
"Azerbaidjan","Objective-C",1
"Azerbaidjan","Scala",1
"Antarctica","CommonLisp",1
"Antarctica","Elixir",1
"Antarctica","Rust",1
"Comoros","Assembly",1
"Comoros","CoffeeScript",1
"Comoros","Matlab",1
"Comoros","PHP",1
"Comoros","Smalltalk",1
"Comoros","SQL",1
"Comoros","VB.NET",1
"Comoros","VBA",1
"Comoros","VisualBasic6",1
"Swaziland","C",1
"Swaziland","C++",1
"Swaziland","C#",1
"Swaziland","Haskell",1
"Swaziland","Java",1
"Swaziland","JavaScript",1
"Swaziland","Matlab",1
"Swaziland","Perl",1
"Swaziland","PHP",1
"Swaziland","Python",1
"Swaziland","Ruby",1
"Swaziland","Scala",1
"Swaziland","SQL",1
"Swaziland","Swift",1
"Swaziland","TypeScript",1
"Hong Kong","Julia",1
"Malta","Matlab",1
"Malta","R",1
"Saint Helena","Java",1
"Saint Helena","JavaScript",1
